Titleofevent,artist,date,fb,geners,linkofstream,poster
You Can't Come Over (But You Can Come In) with Jessie Jo Dillon,Brandy Clark,"Aug 19th, 2020",https://www.facebook.com/theBrandyClark/,Country,YouTube,https://photos.bandsintown.com/thumb/10140296.jpeg
The Jazz Bandits - Rudy's Jazz Room Livestream,Jeff Coffin,"Aug 21st, 2020",https://www.facebook.com/jeffcoffinmusic/,"Music, Jazz",Facebook,https://photos.bandsintown.com/thumb/8425669.jpeg
Patreon Tea Time concert and hangout (live stream),Megan Slankard,"Aug 19th, 2020",https://www.facebook.com/meganslankardmusic/,"Folk, Acoustic, Rock",YouTube,https://photos.bandsintown.com/thumb/10215979.jpeg
Ana Egge & Rose Polenzani - Live Stream,Ana Egge,"Aug 16th, 2020",https://www.facebook.com/Ana-Egge-51964832589/,,YouTube,https://photos.bandsintown.com/thumb/7150492.jpeg
"DEX ROMWEBER ""LIVE AT THE CAVE"" SUNDAY AUGUST 16 AT 7 PM ET",Dexter Romweber Duo,"Aug 16th, 2020",,"Rockabilly, Rock, Garage Rock, Punk",www.paypal.com,https://photos.bandsintown.com/thumb/10470118.jpeg
"The Music Of David Sanborn, a 75th Birthday celebration",Michael Lington,"Aug 16th, 2020",https://www.facebook.com/MichaelLingtonOfficial/,"Jazz, Smooth Jazz",Stageit,https://photos.bandsintown.com/thumb/10314795.jpeg
Pretty Songs For a Sunday,Della Mae,"Aug 16th, 2020",https://www.facebook.com/heyheydellamae/,"Country, Bluegrass",Facebook,https://photos.bandsintown.com/thumb/9701893.jpeg
"#DailyDash Live Stream @ Facebook, Instagram, Twitch, VK, YouTube & Mixcloud",Dash Berlin,"Aug 16th, 2020",https://www.facebook.com/DashBerlinOfficial1/,Music,Facebook,https://photos.bandsintown.com/thumb/10432132.jpeg
The 59th Annual Philadelphia Folk Fest,James Keelaghan,"Aug 16th, 2020",,,folkfest.org,https://assets.bandsintown.com/images/fallbackImage.png
LIVE! and In Sweatpants // Ron Pope Online Show (#29),Ron Pope,"Aug 15th, 2020",https://www.facebook.com/RonPopeOfficial/,"Alternative Country, Americana, Rock & Roll",Facebook,https://photos.bandsintown.com/thumb/10453421.jpeg
